Id,AvgSteps ,AvgDistanceKm,AvgHrs.,TotalCaloriesKCal,ActivityDays,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
1503960366,12116.74194,7.809677386,18.76612903,1816.419355,31,38.70967742,19.16129032,219.9354839,848.1612903
1624580081,5743.903226,3.914838729,23.76182796,1483.354839,31,8.677419355,5.806451613,153.483871,1257.741935
1644430081,7282.966667,5.295333354,22.85444444,2811.3,30,9.566666667,21.36666667,178.4666667,1161.866667
1844505072,2580.064516,1.706129037,22.05806452,1573.483871,31,0.129032258,1.290322581,115.4516129,1206.612903
1927972279,916.1290323,0.634516123,22.63494624,2172.806452,31,1.322580645,0.774193548,38.58064516,1317.419355
2022484408,11370.64516,8.084193491,23.76129032,2509.967742,31,36.29032258,19.35483871,257.4516129,1112.580645
2026352035,5566.870968,3.454838715,15.77365591,1540.645161,31,0.096774194,0.258064516,256.6451613,689.4193548
2320127002,4716.870968,3.187741904,23.70376344,1724.16129,31,1.35483871,2.580645161,198.1935484,1220.096774
2347167796,9519.666667,6.355555536,16.2287037,2043.444444,18,13.5,20.55555556,252.5,687.1666667
2873212765,7555.774194,5.10161286,23.75698925,1916.967742,31,14.09677419,6.129032258,308,1097.193548
3372868164,6861.65,4.707000041,23.645,1933.1,20,9.15,4.1,327.9,1077.55
3977333714,10984.56667,7.516999944,16.04111111,1513.666667,30,18.9,61.26666667,174.7666667,707.5333333
4020332650,2267.225806,1.626129039,22.07903226,2385.806452,31,5.193548387,5.35483871,76.93548387,1237.258065
4057192912,3838,2.862500012,22.04166667,1973.75,4,0.75,1.5,103,1217.25
4319703577,7268.83871,4.892258047,16.34139785,2037.677419,31,3.580645161,12.32258065,228.7741935,735.8064516
4388161847,10813.93548,8.393225893,18.49247312,3093.870968,31,23.16129032,20.35483871,229.3548387,836.6774194
4445114986,4796.548387,3.24580644,17.45591398,2186.193548,31,6.612903226,1.741935484,209.0967742,829.9032258
4558609924,7685.129032,5.080645177,23.37795699,2033.258065,31,10.38709677,13.70967742,284.9677419,1093.612903
4702921684,8572.064516,6.955161283,17.25107527,2965.548387,31,5.129032258,26.03225806,237.483871,766.4193548
5553957443,8612.580645,5.63967745,15.1827957,1875.677419,31,23.41935484,13,206.1935484,668.3548387
5577150313,8304.433333,6.213333305,16.99222222,3359.633333,30,87.33333333,29.83333333,147.9333333,754.4333333
6117666160,7046.714286,5.342142914,18.1375,2261.142857,28,1.571428571,2.035714286,288.3571429,796.2857143
6290855005,5649.551724,4.272413805,23.78390805,2599.62069,29,2.75862069,3.793103448,227.4482759,1193.034483
6775888955,2519.692308,1.813461516,22.75641026,2131.769231,26,11,14.80769231,40.15384615,1299.423077
6962181067,9794.806452,6.585806477,15.82419355,1982.032258,31,22.80645161,18.51612903,245.8064516,662.3225806
7007744171,11323.42308,8.015384592,23.05641026,2544,26,31.03846154,16.26923077,280.7307692,1055.346154
7086361926,9371.774194,6.388064508,17.70376344,2566.354839,31,42.58064516,25.35483871,143.8387097,850.4516129
8053475328,14763.29032,11.4751612,23.22849462,2945.806452,31,85.16129032,9.580645161,150.9677419,1148
8253242879,6482.157895,4.667368468,23.98508772,1788,19,20.52631579,14.31578947,116.8947368,1287.368421
8378563200,8717.709677,6.913548462,15.68602151,3436.580645,31,58.67741935,10.25806452,156.0967742,716.1290323
8583815059,7198.516129,5.615483822,23.95645161,2732.032258,31,9.677419355,22.19354839,138.2903226,1267.225806
8792009665,1853.724138,1.186551717,19.28793103,1962.310345,29,0.965517241,4.034482759,91.79310345,1060.482759
8877689391,16040.03226,13.21290314,23.72634409,3420.258065,31,66.06451613,9.935483871,234.7096774,1112.870968
